Series ID,Year,Period,Label,Value
CES0000000001,1980,M01,1980 Jan,90800
CES0000000001,1980,M02,1980 Feb,90883
CES0000000001,1980,M03,1980 Mar,90994
CES0000000001,1980,M04,1980 Apr,90849
CES0000000001,1980,M05,1980 May,90420
CES0000000001,1980,M06,1980 Jun,90101
CES0000000001,1980,M07,1980 Jul,89840
CES0000000001,1980,M08,1980 Aug,90099
CES0000000001,1980,M09,1980 Sep,90213
CES0000000001,1980,M10,1980 Oct,90490
CES0000000001,1980,M11,1980 Nov,90747
CES0000000001,1980,M12,1980 Dec,90943
CES0000000001,1981,M01,1981 Jan,91033
CES0000000001,1981,M02,1981 Feb,91105
CES0000000001,1981,M03,1981 Mar,91210
CES0000000001,1981,M04,1981 Apr,91283
CES0000000001,1981,M05,1981 May,91296
CES0000000001,1981,M06,1981 Jun,91490
CES0000000001,1981,M07,1981 Jul,91601
CES0000000001,1981,M08,1981 Aug,91565
CES0000000001,1981,M09,1981 Sep,91477
CES0000000001,1981,M10,1981 Oct,91380
CES0000000001,1981,M11,1981 Nov,91171
CES0000000001,1981,M12,1981 Dec,90895
CES0000000001,1982,M01,1982 Jan,90565
CES0000000001,1982,M02,1982 Feb,90563
CES0000000001,1982,M03,1982 Mar,90434
CES0000000001,1982,M04,1982 Apr,90150
CES0000000001,1982,M05,1982 May,90107
CES0000000001,1982,M06,1982 Jun,89865
CES0000000001,1982,M07,1982 Jul,89521
CES0000000001,1982,M08,1982 Aug,89363
CES0000000001,1982,M09,1982 Sep,89183
CES0000000001,1982,M10,1982 Oct,88907
CES0000000001,1982,M11,1982 Nov,88786
CES0000000001,1982,M12,1982 Dec,88771
CES0000000001,1983,M01,1983 Jan,88990
CES0000000001,1983,M02,1983 Feb,88917
CES0000000001,1983,M03,1983 Mar,89090
CES0000000001,1983,M04,1983 Apr,89364
CES0000000001,1983,M05,1983 May,89644
CES0000000001,1983,M06,1983 Jun,90021
CES0000000001,1983,M07,1983 Jul,90437
CES0000000001,1983,M08,1983 Aug,90129
CES0000000001,1983,M09,1983 Sep,91247
CES0000000001,1983,M10,1983 Oct,91520
CES0000000001,1983,M11,1983 Nov,91875
CES0000000001,1983,M12,1983 Dec,92230
CES0000000001,1984,M01,1984 Jan,92673
CES0000000001,1984,M02,1984 Feb,93157
CES0000000001,1984,M03,1984 Mar,93429
CES0000000001,1984,M04,1984 Apr,93792
CES0000000001,1984,M05,1984 May,94098
CES0000000001,1984,M06,1984 Jun,94479
CES0000000001,1984,M07,1984 Jul,94789
CES0000000001,1984,M08,1984 Aug,95032
CES0000000001,1984,M09,1984 Sep,95344
CES0000000001,1984,M10,1984 Oct,95629
CES0000000001,1984,M11,1984 Nov,95982
CES0000000001,1984,M12,1984 Dec,96107
CES0000000001,1985,M01,1985 Jan,96372
CES0000000001,1985,M02,1985 Feb,96503
CES0000000001,1985,M03,1985 Mar,96842
